Tipo;Colonia;Habitaciones;Garages;Suites;Area;Valor;Condominio;Impuesto
Departamento;Santa Fe;2;1;1;77;8750.0;2905.0;546.0
Departamento;Santa Fe;2;1;1;75;4900.0;4480.0;0.0
Departamento;Narvarte;2;1;1;70;5250.0;3115.0;238.0
Departamento;Álvaro Obregón;2;0;0;70;3500.0;112.0;0.0
Departamento;Condesa;2;1;1;81;10150.0;3125.5;665.0
Departamento;Ciudad de los Deportes;3;0;0;90;3150.0;1155.0;52.5
Departamento;San Miguel Chapultepec;3;3;1;124;5950.0;4900.0;0.0
Departamento;Del Valle;2;1;1;70;8050.0;2170.0;665.0
Departamento;Santa Fe;2;1;1;70;7700.0;2730.0;0.0
Departamento;Mixcoac;3;1;1;73;4200.0;1820.0;0.0
Departamento;Condesa;3;0;0;120;10500.0;4970.0;0.0
Departamento;Del Valle;2;0;0;110;8750.0;3388.0;584.5
Departamento;Santa Fe;2;2;1;105;10500.0;5250.0;0.0
Departamento;San Miguel Chapultepec;2;1;0;70;3850.0;1925.0;0.0
Departamento;Condesa;3;0;0;80;8750.0;2800.0;549.5
Departamento;Bosques de las Lomas;2;1;1;80;7700.0;9100.0;1470.0
Departamento;Narvarte;3;1;0;88;8050.0;2765.0;3097.5
Departamento;Narvarte;3;1;0;116;7000.0;2765.0;679.0
Departamento;San Miguel Chapultepec;3;0;0;82;4200.0;2324.0;301.0
Departamento;Narvarte;1;1;1;84;7000.0;2513.0;420.0
Departamento;Condesa;1;1;0;150;10500.0;4200.0;1365.0
Departamento;Roma;2;0;0;115;7700.0;3657.5;665.0
Departamento;Santa Fe;2;1;1;70;6300.0;2383.5;420.0
Departamento;Condesa;2;1;0;74;9100.0;3573.5;0.0
Departamento;San Pedro de los Pinos;2;1;0;75;10150.0;3241.0;315.0
Departamento;Del Valle;2;0;0;85;7350.0;2450.0;332.5
Departamento;Condesa;2;0;0;81;10500.0;2695.0;556.5
Departamento;Santa Fe;2;1;1;88;8400.0;4595.5;0.0
Departamento;Condesa;2;0;0;110;9800.0;2800.0;420.0
Departamento;Santa Fe;2;1;0;70;8400.0;6300.0;525.0
Departamento;Iztapalapa;2;1;0;70;2975.0;700.0;0.0
Departamento;Bosques de las Lomas;2;1;1;90;9450.0;4725.0;875.0
Departamento;San Pedro de los Pinos;3;1;0;95;8050.0;4550.0;420.0
Departamento;Santa Fe;2;1;0;90;7000.0;3430.0;5600.0
Departamento;Santa Fe;1;1;1;80;5950.0;3430.0;875.0
Departamento;Santa Fe;2;1;1;70;7700.0;3500.0;245.0
Departamento;Narvarte;1;1;1;87;4900.0;3699.5;567.0
Departamento;Bosques de las Lomas;2;1;0;77;9450.0;3675.0;1057.0
Departamento;Santa Fe;3;1;3;80;9800.0;4550.0;0.0
Departamento;Narvarte;2;1;0;70;6475.0;2618.0;168.0
Departamento;Narvarte;3;1;1;106;7175.0;3052.0;3528.0
Departamento;San Miguel Chapultepec;2;1;1;79;4550.0;3325.0;105.0
Departamento;Santa Fe;2;1;1;102;8750.0;5173.0;892.5
Departamento;Santa Fe;3;2;3;120;9800.0;4480.0;1260.0
Departamento;Santa Fe;1;0;0;71;7350.0;4200.0;770.0
Departamento;Narvarte;2;1;1;81;8225.0;2971.5;280.0
Departamento;Mixcoac;3;1;0;90;6650.0;735.0;560.0
Departamento;Narvarte;3;0;0;98;5950.0;1365.0;325.5
Departamento;Narvarte;2;1;0;88;3850.0;2425.5;112.0
Departamento;Santa Fe;2;1;0;74;7350.0;2625.0;0.0
Departamento;Santa Fe;2;1;1;70;8050.0;3500.0;280.0
Departamento;Santa Fe;2;1;1;87;8050.0;5187.0;878.5
Departamento;Santa Fe;3;1;1;75;6650.0;2625.0;210.0
Departamento;San Pedro de los Pinos;2;1;0;72;10150.0;2852.5;336.0
Departamento;Narvarte;2;1;0;72;5250.0;2569.0;0.0
Departamento;El Arenal;2;1;0;90;4900.0;1680.0;297.5
Departamento;Narvarte;3;0;0;86;5250.0;2415.0;290.5
Departamento;Santa Fe;2;2;1;75;4900.0;2800.0;350.0
Departamento;Narvarte;2;1;1;70;5600.0;2590.0;0.0
Departamento;Narvarte;3;2;1;150;7000.0;5950.0;735.0
Departamento;San Miguel Chapultepec;3;1;0;95;4375.0;2275.0;210.0
Departamento;Narvarte;2;1;1;85;5600.0;3360.0;315.0
Departamento;Narvarte;3;1;1;80;10500.0;3384.5;644.0
Departamento;Santa Fe;2;1;1;70;4025.0;4410.0;560.0
Departamento;Del Valle;2;1;0;79;8050.0;2730.0;413.0
Departamento;San Miguel Chapultepec;2;0;0;80;5950.0;1575.0;210.0
Departamento;Coyoacán;2;0;0;73;10500.0;2450.0;665.0
Departamento;San Miguel Chapultepec;2;2;1;91;7000.0;2100.0;507.5
Departamento;Santa Fe;2;1;1;90;10500.0;6461.0;1533.0
Departamento;Las Águilas;3;1;1;75;7350.0;2380.0;0.0
Departamento;San Miguel Chapultepec;3;1;2;79;7700.0;2177.0;427.0
Departamento;Narvarte;3;2;1;109;8750.0;2597.0;367.5
Departamento;Santa Fe;2;1;1;90;7700.0;4872.0;1011.5
Departamento;Santa Fe;3;2;3;102;9450.0;5330.5;10304.0
Departamento;Santa Fe;4;2;1;115;9800.0;6300.0;875.0
Departamento;Del Valle;2;0;0;70;7700.0;1750.0;259.0
Departamento;Santa Fe;2;1;1;90;10500.0;6510.0;1575.0
Departamento;Narvarte;2;1;1;80;5250.0;1750.0;105.0
Departamento;Narvarte;3;1;2;100;8750.0;4550.0;990.5
Departamento;Narvarte;2;1;1;97;8750.0;2310.0;0.0
Departamento;Santa Fe;3;2;1;110;7000.0;6188.0;969.5
Departamento;Narvarte;3;0;0;80;5600.0;1225.0;0.0
Departamento;San Miguel Chapultepec;2;1;1;70;5250.0;2432.5;248.5
Departamento;Narvarte;2;1;1;84;9625.0;2415.0;637.0
Departamento;Narvarte;3;2;1;120;9800.0;5600.0;595.0
Departamento;Narvarte;3;1;0;81;6125.0;2089.5;329.0
Departamento;San Miguel Chapultepec;2;0;0;82;5950.0;1225.0;0.0
Departamento;Narvarte;3;0;0;80;5600.0;2310.0;343.0
Departamento;Coyoacán;2;0;0;75;10500.0;5600.0;525.0
Departamento;Santa Fe;2;1;1;77;7700.0;4326.0;493.5
Departamento;Centro Histórico;2;0;0;75;5250.0;3272.5;255.5
Departamento;Roma;2;1;0;90;8750.0;2289.0;332.5
Departamento;San Pedro de los Pinos;2;0;1;101;10500.0;1400.0;707.0
Departamento;Santa Fe;2;1;1;104;7000.0;6125.0;0.0
Departamento;Narvarte;3;1;1;82;6300.0;3850.0;392.0
Departamento;San Rafael;2;1;1;80;5250.0;2607.5;311.5
Departamento;Narvarte;3;0;3;110;9800.0;875.0;822.5
Departamento;Santa Fe;2;1;1;70;6300.0;3062.5;0.0
Departamento;Santa Fe;3;2;1;172;8050.0;5600.0;1575.0
Departamento;Narvarte;3;2;1;85;8225.0;3150.0;336.0
Departamento;Del Valle;3;1;1;110;10500.0;3384.5;507.5
Departamento;Culhuacán CTM;2;1;0;70;4550.0;595.0;0.0
Departamento;Narvarte;3;1;1;126;6300.0;3881.5;567.0
Departamento;Santa Fe;1;1;1;85;8050.0;3531.5;0.0
Departamento;Santa Fe;2;1;1;86;7700.0;3675.0;0.0
Departamento;Santa Fe;2;1;1;86;10150.0;4574.5;752.5
Departamento;Santa Fe;3;2;1;230;10500.0;14700.0;2450.0
Departamento;Narvarte;3;2;1;102;9100.0;2793.0;311.5
Departamento;Santa Fe;3;1;1;90;9975.0;2975.0;455.0
Departamento;Centro Histórico;3;1;0;95;7000.0;3034.5;252.0
Departamento;Narvarte;3;1;0;125;8750.0;3850.0;700.0
Departamento;Roma Norte;2;1;0;73;5215.0;1718.5;49.0
Departamento;Santa Fe;4;2;3;153;10500.0;6300.0;1739.5
Departamento;Narvarte;3;1;0;98;7700.0;2205.0;0.0
Departamento;San Miguel Chapultepec;2;0;0;86;7000.0;1638.0;66.5
Departamento;Santa Fe;2;1;1;89;10500.0;5565.0;892.5
Departamento;Santa Fe;2;2;1;93;9450.0;4564.0;626.5
Departamento;Narvarte;2;0;0;81;6300.0;2327.5;301.0
Departamento;Santa Fe;1;1;0;70;7000.0;3010.0;717.5
Departamento;Santa Fe;2;1;1;78;8750.0;4550.0;1050.0
Departamento;La Condesa;2;2;0;78;8645.0;2583.0;423.5
Departamento;Santa Fe;3;2;1;220;10500.0;6230.0;0.0
Departamento;Santa Fe;2;1;1;70;5950.0;1960.0;269.5
Departamento;Coyoacán;2;1;0;78;10500.0;3675.0;980.0
Departamento;El Contadero;3;2;1;127;8750.0;2170.0;1025.5
Departamento;Del Valle;2;1;1;86;10500.0;3045.0;560.0
Departamento;Narvarte;2;0;0;90;4900.0;2100.0;122.5
Departamento;Bosques de las Lomas;2;1;1;85;7700.0;4287.5;973.0
Departamento;Atlampa;2;1;0;70;4375.0;763.0;0.0
Departamento;Condesa;4;0;0;103;9800.0;3335.5;840.0
Departamento;Narvarte;2;0;0;75;5950.0;980.0;0.0
Departamento;Narvarte;2;0;0;89;4900.0;210.0;0.0
Departamento;Roma;2;0;0;70;8050.0;3727.5;469.0
Departamento;Peralvillo;2;1;0;80;3500.0;1750.0;500.5
Departamento;Santa Fe;3;2;1;112;7700.0;6132.0;896.0
Departamento;Lomas de Chapultepec;2;1;0;70;8750.0;2940.0;616.0
Departamento;Narvarte;2;1;0;73;5950.0;1750.0;0.0
Departamento;Bosques de las Lomas;1;1;1;85;10500.0;3930.5;1354.5
Departamento;Santa Fe;2;1;1;71;5250.0;2520.0;0.0
Departamento;Santa Fe;4;2;1;121;9800.0;4165.0;731.5
Departamento;Santa Fe;2;1;1;80;8750.0;4585.0;0.0
Departamento;Peralvillo;3;1;1;85;4550.0;2677.5;0.0
Departamento;Condesa;2;0;0;71;8400.0;2117.5;0.0
Departamento;Narvarte;2;1;0;90;5950.0;1645.0;318.5
Departamento;Santa Fe;4;2;1;120;10500.0;7350.0;1050.0
Departamento;Condesa;2;0;0;90;10500.0;2800.0;763.0
Departamento;Arboledas;2;1;1;70;4200.0;2684.5;129.5
Departamento;Condesa;2;0;0;81;8750.0;2800.0;315.0
Departamento;Casa Blanca;3;2;1;82;7700.0;2205.0;245.0
Departamento;Napoles;2;0;0;75;8750.0;2660.0;619.5
Departamento;Santa Fe;2;2;1;90;9800.0;4550.0;1400.0
Departamento;Condesa;2;0;0;70;8400.0;2100.0;469.0
Departamento;Narvarte;2;1;1;70;6475.0;1925.0;0.0
Departamento;Santa Fe;2;1;1;93;10500.0;3668.0;976.5
Departamento;Polanco;2;1;2;79;9800.0;6044.5;675.5
Departamento;Peralvillo;2;1;1;78;4200.0;2275.0;420.0
Departamento;San Rafael;3;2;1;103;5600.0;2450.0;560.0
Departamento;Santa Fe;1;1;1;72;6300.0;3220.0;693.0
Departamento;Condesa;3;0;0;128;10500.0;4200.0;437.5
Departamento;Roma;1;1;0;73;8750.0;2275.0;427.0
Departamento;Santa Fe;3;1;1;103;9100.0;4725.0;805.0
Departamento;Ciudad de los Deportes;1;1;1;70;2100.0;1683.5;59.5
Departamento;Condesa;2;0;1;70;7700.0;2023.0;332.5
Departamento;San Miguel Chapultepec;2;1;0;135;8050.0;1995.0;350.0
Departamento;Santa Fe;3;1;3;80;9800.0;4550.0;490.0
Departamento;Roma;1;0;0;70;6300.0;2275.0;245.0
Departamento;Condesa;2;0;0;72;7875.0;2975.0;252.0
Departamento;Condesa;3;1;0;77;10500.0;3353.0;493.5
Departamento;Narvarte;4;1;1;190;9800.0;3150.0;630.0
Departamento;Doctores;2;1;1;84;2800.0;1575.0;0.0
Departamento;Santa Fe;3;1;1;86;7000.0;2656.5;0.0
Departamento;San Miguel Chapultepec;2;0;0;92;5250.0;1050.0;308.0
Departamento;Santa Fe;2;1;1;96;8750.0;5610.5;822.5
Departamento;Del Valle;2;0;0;90;7700.0;2275.0;416.5
Departamento;San Miguel Chapultepec;2;1;0;83;3850.0;2100.0;343.0
Departamento;La Loma;1;0;0;99;6300.0;2275.0;168.0
Departamento;Roma;3;1;0;110;8750.0;4550.0;0.0
Departamento;Condesa;3;0;0;120;8050.0;6650.0;8267.0
Departamento;Condesa;3;0;0;120;10500.0;2730.0;770.0
Departamento;Santa Fe;3;1;1;98;8400.0;4830.0;525.0
Departamento;Santa Fe;2;1;1;70;7700.0;2730.0;350.0
Departamento;Roma;2;1;0;95;8750.0;3045.0;0.0
Departamento;Bosques de las Lomas;3;1;0;80;10500.0;2520.0;665.0
Departamento;Santa Fe;3;2;1;93;8750.0;5075.0;581.0
Departamento;Santa Fe;2;1;1;74;6650.0;4550.0;0.0
Departamento;Condesa;2;0;0;74;5600.0;3.5;3.5
Departamento;Peralvillo;2;2;1;110;6300.0;2100.0;462.0
Departamento;Santa Fe;2;2;1;104;10500.0;6562.5;1960.0
Departamento;Roma;2;1;1;85;9450.0;4056.5;644.0
Departamento;San Rafael;2;2;1;103;5600.0;2100.0;378.0
Departamento;San Rafael;3;0;1;97;5775.0;920.5;350.0
Departamento;Peralvillo;2;1;0;77;4900.0;2096.5;133.0
Departamento;Narvarte;3;1;1;140;6300.0;4014.5;0.0
Departamento;Santa Fe;3;1;0;80;5950.0;3608.5;7682.5
Departamento;Santa Fe;2;2;1;113;10500.0;6720.0;2135.0
Departamento;Narvarte;3;1;0;140;8050.0;2380.0;399.0
Departamento;Condesa;2;0;0;70;8400.0;2233.0;521.5
Departamento;Santa Fe;2;1;1;95;7700.0;4669.0;899.5
Departamento;Condesa;3;0;1;100;10500.0;3325.0;8995.0
Departamento;Santa Fe;2;1;1;80;8750.0;4284.0;742.0
Departamento;Del Valle;2;1;0;80;7000.0;1575.0;0.0
Departamento;Santa Fe;3;2;1;105;8050.0;5250.0;0.0
Departamento;Narvarte;3;1;0;80;6650.0;2450.0;210.0
Departamento;Santa Fe;2;1;1;73;9450.0;4147.5;724.5
Departamento;Condesa;3;1;0;81;8750.0;3500.0;6076.0
Departamento;Del Valle;3;1;1;150;9450.0;5495.0;630.0
Departamento;Condesa;2;0;0;70;7700.0;2695.0;437.5
Departamento;Peralvillo;3;1;1;70;4550.0;2450.0;297.5
Departamento;Peralvillo;3;0;0;78;5250.0;2541.0;280.0
Departamento;Condesa;2;0;1;83;10500.0;4231.5;714.0
Departamento;Condesa;3;1;1;90;9800.0;4200.0;525.0
Departamento;Condesa;2;0;0;90;8400.0;3080.0;392.0
Departamento;El Contadero;3;2;1;125;9380.0;1750.0;1207.5
Departamento;Narvarte;3;1;0;107;8050.0;1400.0;0.0
Departamento;Santa Fe;2;1;2;82;7700.0;4200.0;0.0
Departamento;Narvarte;2;0;0;76;6300.0;2450.0;84.0
Departamento;Condesa;2;0;0;90;10500.0;3500.0;1400.0
Departamento;Arboledas;3;1;0;75;3500.0;2275.0;0.0
Departamento;Santa Fe;3;2;2;83;8400.0;2124.5;4900.0
Departamento;San Jerónimo;2;1;0;87;8750.0;2789.5;0.0
Departamento;Narvarte;3;1;1;87;8050.0;1956.5;350.0
Departamento;Santa Fe;4;2;1;115;9800.0;6615.0;875.0
Departamento;Narvarte;4;1;0;160;7000.0;3612.0;3696.0
Departamento;Santa Fe;2;1;1;70;7700.0;2730.0;0.0
Departamento;Coyoacán;2;1;0;85;10500.0;2660.0;280.0
Departamento;Santa Fe;3;2;3;145;10150.0;6300.0;0.0
Departamento;Santa Fe;1;1;1;71;8750.0;6146.0;672.0
Departamento;Condesa;2;0;0;74;7000.0;3150.0;462.0
Departamento;San Ángel;3;0;1;120;9450.0;3080.0;833.0
Departamento;Narvarte;2;1;1;92;10150.0;3174.5;0.0
Departamento;Condesa;2;0;0;80;8400.0;3482.5;630.0
Departamento;Narvarte;3;2;1;135;7000.0;3220.0;8400.0
Departamento;Peralvillo;3;2;1;113;4550.0;2940.0;0.0
Departamento;San Miguel Chapultepec;2;1;0;70;5600.0;2625.0;210.0
Departamento;Peralvillo;3;1;1;108;4725.0;3150.0;399.0
Departamento;Santa Fe;3;2;1;98;9800.0;5320.0;385.0
Departamento;Narvarte;2;0;0;70;5600.0;2975.0;294.0
Departamento;Centro Histórico;3;2;1;120;8750.0;5250.0;728.0
Departamento;Juárez;2;0;0;71;6650.0;1981.0;451.5
Departamento;Napoles;2;0;0;75;9100.0;3073.0;0.0
Departamento;Narvarte;3;1;0;105;7700.0;2394.0;462.0
Departamento;Santa Fe;2;1;0;84;7700.0;3150.0;7000.0
Departamento;Narvarte;3;1;0;75;6650.0;1785.0;0.0
Departamento;Santa Fe;3;2;1;90;9800.0;5309.5;1256.5
Departamento;Narvarte;2;0;0;80;5600.0;875.0;70.0
Departamento;Condesa;3;1;0;138;9800.0;5253.5;1113.0
Departamento;La Virgen;2;1;0;74;4375.0;2205.0;133.0
Departamento;Santa Fe;2;1;1;75;7350.0;2233.0;0.0
Departamento;Santa Fe;3;1;1;88;8050.0;2810.5;0.0
Departamento;Santa Fe;2;1;1;101;10500.0;7350.0;927.5
Departamento;Narvarte;3;2;0;74;8750.0;2495.5;332.5
Departamento;Condesa;2;0;0;70;7700.0;1820.0;0.0
Departamento;Condesa;3;1;0;90;10500.0;2730.0;612.5
Departamento;Santa Fe;2;1;0;73;8750.0;3430.0;696.5
Departamento;Santa Fe;2;1;1;74;5600.0;3150.0;0.0
Departamento;Santa Fe;2;1;1;95;7000.0;6300.0;350.0
Departamento;Narvarte;2;1;1;71;4900.0;2100.0;0.0
Departamento;Santa Fe;2;1;1;70;8925.0;3430.0;437.5
Departamento;Narvarte;3;0;0;120;6300.0;2156.0;413.0
Departamento;Santa Fe;2;1;1;72;5600.0;3255.0;574.0
Departamento;Roma;2;1;1;85;10150.0;4900.0;0.0
Departamento;Santa Fe;4;2;1;120;10500.0;7934.5;1050.0
Departamento;Coyoacán;2;1;0;100;10500.0;2800.0;980.0
Departamento;Santa Fe;3;1;1;92;8750.0;4200.0;6062.0
Departamento;Santa Fe;2;1;0;78;7350.0;2625.0;350.0
Departamento;Santa Fe;2;1;1;89;7700.0;4004.0;353.5
Departamento;Narvarte;2;0;0;80;4900.0;2163.0;245.0
Departamento;La Condesa;2;1;0;74;7700.0;2537.5;437.5
Departamento;Santa Fe;2;1;1;72;8050.0;4200.0;843.5
Departamento;Santa Fe;2;2;2;100;9800.0;5600.0;1295.0
Departamento;Napoles;3;0;0;155;9800.0;4550.0;1018.5
Departamento;Santa Fe;2;1;1;88;6650.0;4725.0;525.0
Departamento;Coyoacán;3;0;0;90;9100.0;4585.0;542.5
Departamento;Santa Fe;1;1;1;82;6300.0;4550.0;927.5
Departamento;El Contadero;2;1;0;90;5950.0;1400.0;4200.0
Departamento;Del Valle;3;0;0;111;8050.0;2684.5;444.5
Departamento;Coyoacán;2;0;0;75;10150.0;2450.0;0.0
Departamento;Narvarte;3;0;0;120;8400.0;2401.0;273.0
Departamento;Polanco;3;0;0;85;8750.0;2765.0;0.0
Departamento;Narvarte;2;1;1;80;6300.0;4133.5;0.0
Departamento;Narvarte;3;1;0;115;7875.0;3500.0;612.5
Departamento;San Rafael;2;0;0;75;4200.0;525.0;70.0
Departamento;Napoles;2;1;0;90;8750.0;2800.0;0.0
Departamento;Santa Fe;3;1;2;97;8925.0;4571.0;896.0
Departamento;Santa Fe;2;1;1;90;9800.0;3115.0;857.5
Departamento;Santa Fe;2;1;2;90;7000.0;5215.0;0.0
Departamento;Condesa;3;0;1;115;10150.0;3325.0;357.0
Departamento;Roma;3;0;0;157;9450.0;3395.0;700.0
Departamento;Santa Fe;2;1;1;130;10500.0;4935.0;819.0
Departamento;Narvarte;2;1;0;86;3850.0;1869.0;0.0
Departamento;Del Valle;2;1;0;75;7700.0;3132.5;374.5
Departamento;Santa Fe;3;1;1;104;10500.0;6300.0;980.0
Departamento;Roma;2;1;0;70;9800.0;2625.0;43645.0
Departamento;Santa Fe;3;1;1;102;8750.0;4550.0;0.0
Departamento;Nueva Santa María;2;1;0;84;2450.0;2450.0;129.5
Departamento;Narvarte;2;0;0;84;4550.0;1925.0;318.5
Departamento;Narvarte;4;1;2;190;7000.0;4364.5;1235.5
Departamento;San Miguel Chapultepec;3;1;0;80;4550.0;2520.0;245.0
Departamento;Santa Fe;2;2;1;78;8715.0;3850.0;560.0
Departamento;Juárez;2;0;0;71;7000.0;2537.5;364.0
Departamento;San Rafael;2;1;1;73;6125.0;2502.5;357.0
Departamento;Narvarte;3;0;0;75;5250.0;3069.5;126.0
Departamento;Narvarte;3;0;0;75;7700.0;2625.0;238.0
Departamento;Santa Fe;2;1;1;80;6125.0;4200.0;304.5
Departamento;San Miguel Chapultepec;3;1;1;110;6300.0;2922.5;346.5
Departamento;Condesa;2;0;0;82;6650.0;2397.5;630.0
Departamento;Condesa;3;1;1;110;9100.0;3850.0;525.0
Departamento;Del Valle;2;0;0;80;8750.0;1260.0;297.5
Departamento;Santa Fe;1;1;0;70;5250.0;3885.0;10675.0
Departamento;Polanco;2;0;0;80;6650.0;2800.0;483.0
Departamento;Condesa;2;0;0;80;9100.0;1575.0;437.5
Departamento;Roma Norte;3;1;1;144;8746.5;350.0;437.5
Departamento;Polanco;2;1;1;80;10150.0;3850.0;420.0
Departamento;Narvarte;3;2;0;74;8750.0;2747.5;325.5
Departamento;Narvarte;3;1;1;150;8750.0;4200.0;612.5
Departamento;Condesa;2;2;1;80;7350.0;4294.5;0.0
Departamento;Napoles;1;0;0;70;8750.0;1841.0;0.0
Departamento;Santa Fe;2;1;0;90;10500.0;5565.0;892.5
Departamento;Santa Fe;2;1;1;98;7875.0;5215.0;822.5
Departamento;Narvarte;3;1;0;100;5950.0;2940.0;385.0
Departamento;San José Insurgentes;2;1;0;71;2135.0;2065.0;0.0
Departamento;Narvarte;1;0;0;80;6650.0;1925.0;178.5
Departamento;Narvarte;2;1;1;78;8400.0;3150.0;462.0
Departamento;Narvarte;3;1;0;90;8225.0;2614.5;0.0
Departamento;Santa Fe;2;1;1;72;5600.0;2730.0;49.0
Departamento;Narvarte;3;1;1;90;7000.0;3104.5;430.5
Departamento;Las Águilas;3;1;1;70;5250.0;2369.5;140.0
Departamento;Narvarte;2;1;0;90;7000.0;2450.0;262.5
Departamento;Santa Fe;2;1;1;100;8750.0;5243.0;1186.5
Departamento;San Pedro de los Pinos;2;1;1;74;10500.0;4511.5;38.5
Departamento;Santa Fe;2;1;1;73;7000.0;3615.5;350.0
Departamento;Narvarte;3;0;1;100;6300.0;2975.0;455.0
Departamento;Narvarte;3;1;1;96;6825.0;1750.0;325.5
Departamento;Santa Fe;2;1;1;70;4900.0;2541.0;49.0
Departamento;Peralvillo;3;1;1;76;5075.0;2282.0;2597.0
Departamento;Arboledas;2;1;1;80;4725.0;822.5;472.5
Departamento;Narvarte;3;0;0;105;7700.0;1792.0;448.0
Departamento;Peralvillo;2;1;0;71;4900.0;2408.0;0.0
Departamento;Del Valle;3;1;0;130;9275.0;3535.0;749.0
Departamento;Condesa;2;0;1;80;8400.0;2450.0;539.0
Departamento;Santa Fe;2;2;1;74;7700.0;3671.5;773.5
Departamento;Condesa;2;0;0;85;10500.0;3458.0;371.0
Departamento;Del Valle;2;0;0;87;10150.0;2625.0;455.0
Departamento;Santa Fe;2;1;1;80;7700.0;3955.0;262.5
Departamento;Narvarte;2;0;0;73;4900.0;1718.5;0.0
Departamento;Juárez;2;0;0;83;8050.0;2380.0;518.0
Departamento;San Pedro de los Pinos;2;0;0;72;7000.0;2170.0;479.5
Departamento;Santa Fe;2;1;1;101;8750.0;8050.0;0.0
Departamento;Narvarte;2;0;0;79;6300.0;1330.0;0.0
Departamento;Santa Fe;2;1;1;96;7000.0;5110.0;973.0
Departamento;Peralvillo;3;1;1;90;3500.0;2800.0;420.0
Departamento;Roma;3;0;0;83;9800.0;1029.0;385.0
Departamento;Santa Fe;2;1;1;90;10500.0;6461.0;1533.0
Departamento;Santa Fe;1;1;0;70;10500.0;5775.0;0.0
Departamento;Narvarte;2;1;0;71;6125.0;1890.0;290.5
Departamento;San Miguel Chapultepec;3;1;1;89;7350.0;2625.0;0.0
Departamento;Condesa;3;0;0;119;8750.0;3990.0;0.0
Departamento;Narvarte;3;1;1;80;6125.0;2975.0;437.5
Departamento;Nativitas;2;1;1;80;5075.0;700.0;0.0
Departamento;Narvarte;3;1;1;85;8050.0;1991.5;0.0
Departamento;Santa Fe;1;1;0;70;7000.0;3955.0;0.0
Departamento;Condesa;3;1;0;100;9450.0;3776.5;451.5
Departamento;La Condesa;2;0;0;110;5250.0;4900.0;700.0
Departamento;Condesa;3;0;0;110;9450.0;3500.0;87.5
Departamento;Narvarte;3;0;0;85;5600.0;1802.5;0.0
Departamento;Condesa;3;0;0;130;10500.0;4200.0;812.0
Departamento;Condesa;2;0;0;80;7700.0;3283.0;343.0
Departamento;Condesa;3;1;0;110;10150.0;4777.5;560.0
Departamento;Condesa;3;0;0;83;5950.0;2114.0;0.0
Departamento;Juárez;2;1;0;71;7700.0;2537.5;381.5
Departamento;Condesa;2;0;0;70;7350.0;3192.0;546.0
Departamento;Santa Fe;2;1;1;95;8400.0;4200.0;0.0
Departamento;Narvarte;3;1;0;85;7700.0;2975.0;322.0
Departamento;Santa Fe;2;1;1;70;9800.0;2450.0;4200.0
Departamento;Roma;2;1;0;70;8400.0;2842.0;549.5
Departamento;Santa Fe;2;2;1;82;10500.0;5600.0;805.0
Departamento;San Miguel Chapultepec;3;2;1;100;4900.0;2625.0;357.0
Departamento;San Ángel;2;1;1;75;8750.0;4329.5;6608.0
