Tipo;Colonia;Habitaciones;Garages;Suites;Area;Valor;Condominio;Impuesto
Departamento;Narvarte;2;1;0;110;6650.0;2450.0;483.0
Departamento;Narvarte;2;1;0;78;7000.0;2450.0;0.0
Departamento;Roma;2;1;0;76;8750.0;2590.0;0.0
Departamento;Santa Fe;3;1;2;70;6300.0;3832.5;490.0
Departamento;Santa Fe;3;1;1;72;8225.0;2100.0;245.0
Departamento;Santa Fe;3;2;1;104;9100.0;4774.0;1421.0
Departamento;San Ángel;2;1;0;70;9800.0;2380.0;343.0
Departamento;Santa Fe;2;1;1;88;9450.0;4550.0;7147.0
Departamento;Santa Fe;3;2;2;85;8750.0;4900.0;665.0
Departamento;Santa Fe;2;1;1;78;9625.0;4550.0;483.0
Departamento;Santa Fe;1;1;1;70;5950.0;3045.0;500.5
Departamento;Narvarte;2;1;0;80;6300.0;3850.0;294.0
Departamento;Narvarte;3;1;0;172;9450.0;2730.0;595.0
Departamento;Roma;2;1;1;83;9800.0;1960.0;483.0
Departamento;Juárez;2;0;0;77;8400.0;3955.0;490.0
Departamento;Ciudad de los Deportes;2;0;0;80;3150.0;1225.0;0.0
Departamento;Santa Fe;3;2;1;128;10500.0;4844.0;1134.0
Departamento;Santa Fe;2;1;1;72;9100.0;5950.0;829.5
Departamento;Narvarte;3;0;0;87;5600.0;2275.0;350.0
Departamento;Santa Fe;3;1;2;93;8750.0;3850.0;0.0
Departamento;Nueva Santa María;2;2;0;78;2800.0;3202.5;192.5
Departamento;Santa Fe;2;1;1;85;8750.0;5505.5;689.5
Departamento;Narvarte;3;1;1;78;8750.0;2555.0;623.0
Departamento;Santa Fe;2;1;1;83;7000.0;5418.0;910.0
Departamento;Santa Fe;3;1;1;84;6650.0;3860.5;742.0
Departamento;Narvarte;3;0;0;75;6300.0;1225.0;0.0
Departamento;Narvarte;2;1;1;71;5250.0;2100.0;0.0
Departamento;Santa Fe;2;1;1;81;6650.0;4200.0;423.5
Departamento;Del Valle;3;1;1;90;8400.0;4588.5;0.0
Departamento;Narvarte;3;1;0;129;6300.0;2975.0;406.0
Departamento;Santa Fe;3;1;1;105;8750.0;4900.0;5250.0
Departamento;San Ángel;3;0;1;120;9450.0;3080.0;833.0
Departamento;Bosques de las Lomas;1;1;0;75;9800.0;2800.0;735.0
